food_name,serving_size_g,calories,protein,fat,carbohydrates,sugar,sodium,fiber,calories_from_macro,protein_per_calorie,fat_per_calorie,carbs_per_calorie,calorie_category,is_high_protein,is_high_fiber,is_high_sodium
anggur,100.0,69.0,0.7,0.2,18.1,15.5,2.0,0.9,77.0,0.0101,0.0029,0.2623,rendah,0,0,0
ayam cincane,100.0,265.0,22.5,14.5,8.5,1.5,540.0,1.0,254.5,0.0849,0.0547,0.0321,sedang,1,0,0
apel washington,100.0,52.0,0.3,0.2,14.0,10.5,1.0,2.4,59.0,0.0058,0.0038,0.2692,rendah,0,0,0
asam sunti aceh,100.0,235.0,2.8,0.6,60.0,35.5,28.0,5.2,256.6,0.0119,0.0026,0.2553,sedang,0,1,0
ayam pelalah,100.0,255.0,22.0,15.5,7.5,1.5,500.0,1.5,257.5,0.0863,0.0608,0.0294,sedang,1,0,0
bolu kukus pandan,100.0,285.0,5.5,8.5,45.5,18.5,145.0,1.0,280.5,0.0193,0.0298,0.1596,sedang,0,0,0
bir pletok,100.0,75.0,0.3,0.2,18.5,15.5,8.0,0.3,77.0,0.004,0.0027,0.2467,rendah,0,0,0
bubur ayam jakarta,100.0,188.0,8.2,4.9,27.8,0.8,512.0,0.9,188.1,0.0436,0.0261,0.1479,sedang,0,0,0
cabai hijau,100.0,40.0,2.0,0.3,9.5,5.1,7.0,1.5,48.7,0.05,0.0075,0.2375,rendah,0,0,0
dendeng lambok,100.0,365.0,27.5,23.5,8.5,1.8,510.0,1.1,355.5,0.0753,0.0644,0.0233,tinggi,1,0,0
dimsum ayam,100.0,245.0,12.5,11.5,22.5,2.5,580.0,1.5,243.5,0.051,0.0469,0.0918,sedang,0,0,0
durian musang king,100.0,175.0,1.5,5.5,32.0,22.0,2.0,4.0,183.5,0.0086,0.0314,0.1829,sedang,0,0,0
durian pelangi,100.0,155.0,1.5,5.0,28.5,19.5,2.0,3.8,165.0,0.0097,0.0323,0.1839,sedang,0,0,0
gembili,100.0,95.0,1.5,0.2,22.5,0.5,12.0,2.5,97.8,0.0158,0.0021,0.2368,rendah,0,0,0
geplak betawi,100.0,285.0,3.5,8.5,50.5,28.5,35.0,4.5,292.5,0.0123,0.0298,0.1772,sedang,0,0,0
jeruk pamelo,100.0,38.0,0.8,0.0,9.6,6.9,1.0,1.0,41.6,0.0211,0.0,0.2526,rendah,0,0,0
jamu beras kencur,100.0,95.0,1.5,0.5,22.5,14.5,12.0,0.8,100.5,0.0158,0.0053,0.2368,rendah,0,0,0
kecombrang batang,100.0,35.0,2.5,0.5,6.0,1.2,7.0,3.0,38.5,0.0714,0.0143,0.1714,rendah,0,0,0
kepiting soka tarakan,100.0,145.0,18.5,5.5,8.5,1.5,425.0,0.8,157.5,0.1276,0.0379,0.0586,sedang,1,0,0
kapulaga india,100.0,311.0,10.8,6.7,68.5,0.0,18.0,28.0,377.5,0.0347,0.0215,0.2203,tinggi,0,1,0
kembang kol,100.0,25.0,2.0,0.3,5.3,1.9,30.0,2.0,31.9,0.08,0.012,0.212,rendah,0,0,0
kue moci,100.0,235.0,3.5,5.5,42.5,18.5,65.0,1.5,233.5,0.0149,0.0234,0.1809,sedang,0,0,0
rujak manis surabaya,100.0,95.0,1.5,0.5,22.5,14.5,380.0,3.5,100.5,0.0158,0.0053,0.2368,rendah,0,0,0
sambal andaliman tapanuli,100.0,110.0,3.5,7.5,8.5,2.5,420.0,2.5,115.5,0.0318,0.0682,0.0773,sedang,0,0,0
sambal kemiri pekalongan,100.0,215.0,5.5,16.5,12.5,3.0,480.0,3.0,220.5,0.0256,0.0767,0.0581,sedang,0,0,0
sambal lalap,100.0,95.0,2.0,5.5,9.5,4.5,480.0,2.0,95.5,0.0211,0.0579,0.1,rendah,0,0,0
sambal manis pedas,100.0,145.0,2.5,5.5,22.5,18.5,480.0,1.5,149.5,0.0172,0.0379,0.1552,sedang,0,0,0
sate dampung,100.0,285.0,22.0,15.5,8.5,2.5,510.0,0.8,261.5,0.0772,0.0544,0.0298,sedang,1,0,0
soto seger boyolali,100.0,165.0,11.5,8.5,9.5,1.0,620.0,0.9,160.5,0.0697,0.0515,0.0576,sedang,0,0,1
sambal goreng teri,100.0,175.0,13.5,10.5,7.5,1.8,820.0,1.2,178.5,0.0771,0.06,0.0429,sedang,0,0,1
tahu kuning,100.0,85.0,8.0,5.0,2.2,0.7,95.0,0.4,85.8,0.0941,0.0588,0.0259,rendah,0,0,0
tape ketan ungu,100.0,175.0,2.5,0.5,38.5,14.5,25.0,0.8,168.5,0.0143,0.0029,0.22,sedang,0,0,0
teh chai,100.0,145.0,4.5,5.5,18.5,16.5,65.0,0.3,141.5,0.031,0.0379,0.1276,sedang,0,0,0
tepung bumbu kuning,100.0,345.0,8.5,4.5,65.5,5.5,1850.0,5.5,336.5,0.0246,0.013,0.1899,tinggi,0,1,1
tape ketan hitam,100.0,175.0,2.5,0.5,38.5,14.5,25.0,0.8,168.5,0.0143,0.0029,0.22,sedang,0,0,0
telur dadar manis,100.0,245.0,8.5,14.5,18.5,14.5,145.0,0.8,238.5,0.0347,0.0592,0.0755,sedang,0,0,0
ubi jalar putih,100.0,86.0,1.6,0.1,20.1,4.2,55.0,3.0,87.7,0.0186,0.0012,0.2337,rendah,0,0,0
ubi jalar kuning,100.0,86.0,1.6,0.1,20.1,4.2,55.0,3.0,87.7,0.0186,0.0012,0.2337,rendah,0,0,0
usus sapi,100.0,138.0,17.5,6.5,0.0,0.0,85.0,0.0,128.5,0.1268,0.0471,0.0,sedang,1,0,0
wedang ronde solo,100.0,165.0,2.5,3.5,32.5,20.5,25.0,0.8,171.5,0.0152,0.0212,0.197,sedang,0,0,0
abon ayam,100.0,425.0,30.5,22.5,25.0,7.5,1620.0,2.0,424.5,0.0718,0.0529,0.0588,tinggi,1,0,1
abon ikan cakalang,100.0,390.0,31.0,19.0,22.5,6.5,1500.0,1.8,385.0,0.0795,0.0487,0.0577,tinggi,1,0,1
abon ikan lele,100.0,365.0,29.5,17.5,22.0,6.5,1450.0,1.8,363.5,0.0808,0.0479,0.0603,tinggi,1,0,1
abon ikan teri,100.0,410.0,33.5,20.5,18.5,5.5,1750.0,1.5,392.5,0.0817,0.05,0.0451,tinggi,1,0,1
abon ikan tongkol,100.0,395.0,31.5,19.5,22.5,6.5,1520.0,1.8,391.5,0.0797,0.0494,0.057,tinggi,1,0,1
abon ikan tuna,100.0,385.0,32.5,18.5,22.5,6.5,1480.0,1.8,386.5,0.0844,0.0481,0.0584,tinggi,1,0,1
abon jamur,100.0,245.0,12.5,8.5,32.5,8.0,850.0,5.5,256.5,0.051,0.0347,0.1327,sedang,0,1,1
abon kambing,100.0,485.0,28.5,30.0,24.5,7.5,1800.0,2.4,482.0,0.0588,0.0619,0.0505,tinggi,1,0,1
abon nangka muda,100.0,215.0,4.5,6.5,35.5,14.5,720.0,6.5,218.5,0.0209,0.0302,0.1651,sedang,0,1,1
abon sapi,100.0,470.0,28.0,28.0,25.0,8.0,1850.0,2.5,464.0,0.0596,0.0596,0.0532,tinggi,1,0,1
