id,food_name,category,serving_size_g,calories_kcal,protein_g,fat_g,carbohydrates_g,sugar_g,sodium_mg,fiber_g,image,source
1,nasi goreng,makanan-jadi,,236,5.8,11.2,29.5,2.1,563,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_goreng_istimewa.JPG,generated_v6
2,nasi uduk,makanan-jadi,,214,4.5,8.5,31.0,1.5,420,1.2,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_uduk.jpg,generated_v6
3,nasi kuning,makanan-jadi,,220,4.8,9.5,32.0,1.8,380,1.0,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_putih_in_Indonesia.JPG,generated_v6
4,nasi liwet sunda,makanan-jadi,,205,5.0,7.2,31.5,1.3,410,1.3,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Bakar_Ayam.JPG,generated_v6
5,nasi gudeg jogja,makanan-jadi,,310,12.5,9.7,44.2,8.5,512,3.8,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_kotak_gudeg_ayam_Wijilan.JPG,generated_v6
6,nasi rawon,makanan-jadi,,192,13.4,11.2,8.6,1.2,712,1.4,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Rawon_A.JPG,generated_v6
7,nasi pecel madiun,makanan-jadi,,195,6.5,8.2,25.0,2.5,480,2.8,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_putih_in_Indonesia.JPG,generated_v6
8,nasi padang,makanan-jadi,,385,14.5,18.0,42.0,3.0,720,2.0,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,generated_v6
9,nasi campur bali,makanan-jadi,,275,10.8,11.5,32.0,2.5,580,1.8,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Campur_Bali_Ayam_Betutu.jpg,generated_v6
10,nasi bakar,makanan-jadi,,215,6.0,8.0,30.5,1.8,450,1.4,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Bakar_Ayam.JPG,generated_v6
11,nasi timbel sunda,makanan-jadi,,200,5.2,6.8,30.0,1.2,380,1.1,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Bakar_Ayam.JPG,generated_v6
12,nasi tutug oncom,makanan-jadi,,240,9.5,9.8,30.5,1.8,420,2.5,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Bakar_Ayam.JPG,generated_v6
