id,food_name,category,image_url,calories_kcal,protein_g,fat_g,carbohydrates_g,sugar_g,sodium_mg,fiber_g,source
1,nasi goreng,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_goreng_istimewa.JPG,236,5.8,11.2,29.5,2.1,563,1.0,hand_curated
2,nasi uduk,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_uduk.jpg,214,4.5,8.5,31.0,1.5,420,1.2,hand_curated
3,nasi kuning,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_putih_in_Indonesia.JPG,220,4.8,9.5,32.0,1.8,380,1.0,hand_curated
4,nasi liwet sunda,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Bakar_Ayam.JPG,205,5.0,7.2,31.5,1.3,410,1.3,hand_curated
5,nasi gudeg jogja,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_kotak_gudeg_ayam_Wijilan.JPG,310,12.5,9.7,44.2,8.5,512,3.8,hand_curated
6,nasi rawon,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Rawon_A.JPG,192,13.4,11.2,8.6,1.2,712,1.4,hand_curated
7,nasi pecel madiun,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_putih_in_Indonesia.JPG,195,6.5,8.2,25.0,2.5,480,2.8,hand_curated
8,nasi padang,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,385,14.5,18.0,42.0,3.0,720,2.0,hand_curated
9,nasi campur bali,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Campur_Bali_Ayam_Betutu.jpg,275,10.8,11.5,32.0,2.5,580,1.8,hand_curated
10,nasi bakar,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Bakar_Ayam.JPG,215,6.0,8.0,30.5,1.8,450,1.4,hand_curated
11,nasi timbel sunda,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Bakar_Ayam.JPG,200,5.2,6.8,30.0,1.2,380,1.1,hand_curated
12,nasi tutug oncom,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Bakar_Ayam.JPG,240,9.5,9.8,30.5,1.8,420,2.5,hand_curated
13,nasi jamblang cirebon,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,265,9.0,10.5,33.0,2.2,520,1.8,hand_curated
14,nasi megono pekalongan,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Bakar_Ayam.JPG,195,5.5,6.5,29.5,1.5,410,2.2,hand_curated
15,nasi krawu gresik,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,310,14.2,12.5,35.0,2.5,620,1.8,hand_curated
16,nasi langgi solo,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Campur_Bali_Ayam_Betutu.jpg,285,10.5,11.0,32.5,2.0,540,1.5,hand_curated
17,nasi bogana tegal,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Campur_Bali_Ayam_Betutu.jpg,270,11.0,10.5,31.0,2.0,510,1.8,hand_curated
18,nasi kebuli,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,335,13.5,15.8,34.0,2.5,580,1.5,hand_curated
19,nasi briyani,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,340,12.8,16.2,35.0,3.0,620,1.4,hand_curated
20,nasi lemak,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,295,7.5,13.5,35.0,2.0,480,1.2,hand_curated
21,nasi kapau,makanan-jadi,https://commons.wikimedia.org/wiki/Special:FilePath/Nasi_Kebuli_Jakarta.JPG,395,15.0,18.5,42.5,3.2,750,2.0,hand_curated
